centre_name,address,neighbourhood,lat,lng,curriculum,language_medium,fee_halfday_raw,fee_fullday_raw,scale,religious_orientation,source_primary,source_notes
Secure 2024 Tuition Rates & Enroll for 2025 Intake,,,,,STEAM,,"rm,",rm100,,,Tavily Search,[Verified: Tavily Search — https://geniusaulad.edu.my/genius-aulad-2025-2024-promotion/] Fees from website.
Yes yes! Parents are talking about【Knowledge Tree Montessori ,,,,,,,"RM50,","RM50,",,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/KnowledgeTreeKindergarten/posts/yes] Fees from website.
Knowledge Tree Montessori,Jalan Eco Ardence,,3.0948874,101.4779602,Montessori,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/KnowledgeTreeKindergarten/mentions/]
Knowledge Tree Montessori Kindergarten,"No. 39, Jalan Eco Ardence C U12/36C, Seksyen U12,   
Setia Alam, Shah Alam, Selangor 40170",,,,Montessori,,,,,,Tavily Search,[Verified: Tavily Search — https://www.kiddy123.com/article/knowledge-tree-montessori-k]
"Knowledge Tree Montessori Preschool, Ara Damansara","Jalan PJU 1A/1C, Ara Damansara, Petaling Jaya, 47301 Selangor",,3.1210738,101.5885857,Montessori,,"RM 1,000",RM1000-1700,,,Tavily Search,[Verified: Tavily Search — https://kidzenrol.com/partner-school/knowledge-tree-montesso] Fees from website. | [Verified: Tavily Search — https://knowledgetree.my/]
Knowledge Tree Kindergarten,"Selangor

![](https://kidzenrol",,,,Montessori,,RM1000-1700,RM1300-2200,,,Tavily Search,[Verified: Tavily Search — https://kidzenrol.com/brand/knowledge-tree-kindergarten/] Fees from website.
MRC Kids Elmina,"Elmina , Shah Alam",,3.180368,101.517298,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/p/MRC-Kids-Elmina-61579325775232/]
"Johor,Kulai,Bandar Putra MRC Kids Elmina Shah Alam Trilingual Whole-Brain Preschool (Ages 3 6)","Jalan Eserina AA U16/AA, Seksyen 16, Elmina East (Temu Business Centre), Shah Alam, S",,,,Play-based,,,,,,Tavily Search,[Verified: Tavily Search — https://www.m.newpages.com.my/en/company/825797/product/5906]
MRC Kids Elmina · Shah Alam Trilingual Whole-Brain Preschool ,"Jalan Eserina AA U16/AA, Seksyen 16, Elmina East (Temu Business Centre), Shah Alam, S",,,,Montessori,,"rm,","rm,",,,Tavily Search,[Verified: Tavily Search — https://www.hiparents.com.my/en/showproducts/productid/61599] Fees from website.
Find an MRC Learning Centre Near You,"JALAN PUTRA PERMAI 10/1C, PUTRA HEIGHTS, 47650 SUBANG JAYA, SELANGOR",,2.9886195,101.5647457,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.mrc.edu.my/centre-locations]
3Q MRC Junior,,,,,Multiple Intelligences,,,,,,Tavily Search,[Verified: Tavily Search — https://www.mrc.edu.my/mrc-learning-centre/our-programme/3q-]
Smart Reader Kids 20,"Jalan Singa D 20/D,  
Section 20, 40300 Shah Alam, Selangor Darul Ehsan",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://smartreadershahalam-seksyen20.weebly.com/]
Smart Reader Kids 9,"Shah Alam, Shah Alam",,3.0564068,101.525125,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/p/Smart-Reader-Kids-Seksyen-9-Shah-]
Smart Reader Kids 3,"Jalan Sena 3/13A, Seksyen 3, 40000 Shah Alam, Selangor, Malaysia",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.waze.com/live-map/directions/my/selangor/shah-al]
Smart Reader Kids 23,,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/p/Smart-Reader-Kids-Seksyen-23-Shah]
Smart Reader Kids® 23,"Shah Alam

T : [03-55411490](tel:03-55411490)",,,,Play-based,,RM 410,"RM 2,000",,,Tavily Search,[Verified: Tavily Search — https://smartreader.edu.my/centre/smart-reader-kids-seksyen-] Fees from website.
"Smart Reader Kids® 7, Putra Heights",,,,,STEAM,,RM 410,"RM 2,000",,,Tavily Search,[Verified: Tavily Search — https://smartreader.edu.my/centre/smart-reader-kids-seksyen-] Fees from website.
CIC Vista Alam,,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/cic.vistaalam/] | [Verified: Tavily Search — https://www.facebook.com/cic.vistaalam/mentions/]
CIC Where Leaders Are Born,,,,,Islamic-integrated,,,,,,Tavily Search,[Verified: Tavily Search — https://cic.edu.my/]
Eduwis Eco Ardence,"Jalan D U12/36D Eco Ardence, 40170 Shah Alam, Selangor, Malaysia",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.waze.com/live-map/directions/my/selangor/shah-al]
Best Preschool & Kindergarten in,"Jalan 17/52, Seksyen 17, 46400 Petaling Jaya, Selangor",,3.1315678,101.6365065,Holistic,,,,,,Tavily Search,[Verified: Tavily Search — https://eduwis.edu.my/centre-location-selangor/shahalam/]
Eduwis I-City,"Selangor, Kuala Lumpur,",,3.2331782,101.6309178,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/eduwis.icity/]
Eduwis Education,"Selangor  
Malaysia

018-212 8XXX

Show Number",,,,Montessori,,,,,,Tavily Search,[Verified: Tavily Search — https://www.kiddy123.com/article/eduwis-kindergarten-prescho]
Eduwis,,,,,Holistic,,,,,,Tavily Search,[Verified: Tavily Search — https://eduwis.edu.my/]
Preschool – International School Kuala Lumpur,"Shah Alam, Petaling Jaya](https://www",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.pinehillsschool.edu.my/best-preschool-in-selango]
The City Kindergarten,,,,,Cambridge Early Years,,,,,,Tavily Search,[Verified: Tavily Search — https://thecitykindergarten.edu.my/]
REAL Kids Sec 8,"Jalan Liku A8/A, Section 8, 40000 Shah Alam, Selangor, Malaysia",,3.0887787,101.5055761,Cambridge Early Years,,"rm,","rm,",,,Tavily Search,[Verified: Tavily Search — https://realkids.edu.my/centre-locator/real-kids-sec-8-shah-] Fees from website.
Ace Arrows Kindergarten,Shah Alam,,3.0739429,101.5185278,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/AceArrowsFungates/]
Faisal Cup is back THIS YEAR!! (our 15th year!) Registration is now ,,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/dignityforchildren/posts/faisal-cup]
"R.E.A.L Kids, Denai Alam, No. 44, Jalan Elektron U16/83 ","Jalan Elektron U16/83, Malaysia, орналасу сұлбасы, day care center, preschool, телефо",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://kz.maptons.com/p/9971263112]
